Header2,header3,header4
 ICR,MA,MARINE IN RECEIPT OF OHA W/O DEPNS AND COLA W/DEPNS. REVIEW ACCT AND CORRECT AS APPLICABLE.
 ICR,MB,MR INDICATES BILMOS/PMOS NOT EQUAL TO SRB MOS OCC FIELD. POSSIBLE SRB RECOUP. (PRIUM).
 ICR,NA,MARINE IN RECEIPT OF OHA W/DEPNS AND COLA W/O DEPNS. REVIEW ACCT AND CORRECT AS APPLICABLE.
 ICR,NB,GOVT QTRS NOT STOPPED PRIOR TO DETACHMENT FROM LAST CMD. REVIEW RECORD TO DETERMINE IF STOP QTRS APPLIES & IF ENTITLED TO BAH.
 ICR,PA,"""MARINE IN RECEIPT OF OHA AND BARRACKS COLA"
 ICR,PB,MBR IN RECP'T OF BAH OWN RIGHT & COLA AT RATE OTHER THAN OWN RIGHT. VERIFY & SUBMIT NEW COLA CERTIFICATE IF APPLICABLE.
 ICR,PL,"""ACTION REQ FOR PENDING LEAVE ELECTION ON MASTER"
 ICR,QB,MBR IS NOT TAD BUT IS IN RECEIPT OF FSAT.
 ICR,4,"""MAY NOT RATE FSA"
 ICR,15,DELAY IN EXCESS OF 45 DAYS. VERIFY AND SUBMIT DOCUMENTS TO DISBO FOR REPORTING OF ELAPSED TIME.
 ICR,A3,PRIMARY/1ST ADDITIONAL/2ND ADDITIONAL MOS NOT VALID FOR FOREIGN LANGUAGE PROFICIENCY PAY.
 ICR,A4,MBR'S FSAR TERM ON PCS TR. STRT OR CRED FSA IF APPLICABLE.
 ICR,A6,MBR NOT IN RECEIPT OF CARSEADU AND INDIV LOC CODE REFLECTS ABOARD SHIP.
 ICR,A8,MEMBER'S INDIVIDUAL LOCATION CODE IS NOT COMPATIBLE WITH ENTITLEMENT TO HARDSHIP DUTY PAY.
 ICR,AA,MBR NOT CHARGED FULL WCS DELAY PERIOD DUE TO INSUFFICIENT LEAVE ACCURAL TO COVER TRANSFER PERIOD.
 ICR,AB,DETERMINE CURRENT STATUS.  TAKE APPROPRIATE ACTION.
 ICR,AC,MASTER RECORD REFLECTS MEMBER HAS A DEDUCTION FOR SGLI BUT NOT TSGLI.
 ICR,AJ,ECC EXPIRED. PAY STATUS UPDATED TO CONFINED BEYOND ECC.
 ICR,AK,RESEARCH REQUESTED MEMBER'S BAH QUALIFIER AND CONUS COLA QUALIFIER DO NOT MATCH.
 ICR,AL,MBR CANNOT RECEIVE TWO WITH DEPN COLA ENTITLEMENTS.
 ICR,AN,MARINE CURRENTLY CONFINED SERVING SENTENCE WITH AN EXTENSION THAT HAS NOT BEEN EFFECTED. CONTACT HQMC FOR DISPOSITION OF EXT.
 ICR,AP,INDIVIDUAL LOCATION CODE INDICATES MBR IS NOT ENTITLED TO COLA. (PRIUM).
 ICR,AQ,CSP DOES NOT ACCRUE WHILE CONFINED. RPT STOP CSP IAW DODFMR CHAPTER 18.
 ICR,AR,CSP ACCRUES FOR 1ST 30 DAYS OF ABSENCE FM SHIP. MR REFLECTS LV/HOSP/TAD/D-PER-DIEM IN EXCESS OF 30 DAYS. RPT STOP CSP AS APPROPRIATE.
 ICR,AT,MEMBER ON LEAVE WHILE AWAITING SEPARATION. REVIEW SEA PAY ENTITLEMENT & REPORT STOP (TTC 173) OR CHEK (TTC 147) IF APPLICABLE.
 ICR,AV,MARINE VACATED QUARTERS PRIOR TO DETACHMENT FROM FORMER COMMAND. REVIEW RECORD FOR POSSIBLE BAH ENTITLEMENT.
 ICR,AW,MEMBER ELAPSED TIME GREATER THAN 10 DAYS. REVIEW AND TAKE APPROPRIATE ACTION.
 ICR,BB,MEMBERS OVERSEAS HOUSING OCCUPANCY CODE IS NOT COMPATIBLE WITH OVERSEAS HOUSING PAY CODE.  PLEASE CONFIRM AND CORRECT.
 ICR,BC,IN RECEIPT OF DEPLOYED PER DIEM. INDIVIDUAL LOCATION CODE REFLECTS MBR IS IN CONUS. (PRIUM).
 ICR,BD,MARINE'S INDIVIDUAL LOCATION CODE INDICATES MEMBER MAY BE ENTITLED TO COLA.
 ICR,BE,MR INDICATES ENTL TO COLA W/DEPNS. NBR OF DEPNS AND GEO LOC CODE IN MR NOT COMPATIBLE.
 ICR,BF,MARINE IN RECEIPT OF ADVANCE OHA AND IS RESIDING IN GOVERNMENT QUARTERS.
 ICR,BU,MBR IN RECEIPT OF ADVANCE BAH AND/OR BAH & RESIDING IN GOVT QUARTERS. NOTIFY THE FO BY NAVMC 11107 MISC MILITARY PAY ORDER.
 ICR,C1,"""PMOS IS NOT ON TABLE"
 ICR,CA,"""SUMMARY COURT MARTIAL ON FILE FOR MORE THAN 30 DAYS"
 ICR,CB,"""SPECIAL COURT MARTIAL ON FILE FOR MORE THAN 4 MONTHS"
 ICR,CC,"""GENERAL COURT MARTIAL ON FILE FOR MORE THAN 5 MONTHS"
 ICR,AD,MASTER RECORD REFLECTS MEMBER HAS A DEDUCTION FOR TSGLI BUT NOT SGLI.
 ICR,AE,MR INDICATES MBR RECVD VSP AND AT 180 DAYS ACDU. COMMENCE COLLECTION IAW APSM.
 ICR,AF,SPOUSE SGLI COVERAGE AMOUNT CANNOT EXCEED SGLI COVERAGE AMOUNT FOR MEMBER.
 ICR,AG,MBR CANNOT RECEIVE TWO WITHOUT DEPN COLA ENTITLEMENTS.
 ICR,D2,HAS MBR PROVIDED/SUPPLIED DOCUMENTATION TO SUBSTANTIATE PMT OF ADVANCE TLA.
 MGB,1,MBR'S RES-MGIB TEN YR ELIGIBILITY PERIOD EXPIRED. TERMINATION CODE 'I' POSTED TO MR.
 OAD,51,A FINAL ACTIVE DUTY INCREMENT MAY NEED TO BE REPORTED.
 PRV,41,"""MBR DROP/SEP WITH UNCOLLECTED FINE"
 PRV,89,ACDU RPTD AFTER EFFDTD CONTAINS DATES PRIOR TO PRIOR ANNIV YR.  RET CREDITS NOT ADJ.
 PRV,44,"""MBR TR TO ISL W/UNCOLLECTED FINE"
 PRV,52,MBR HAS ACDU PRD SPANNING EFFECTIVE DATE.  RESEARCH AND DELETE IF NECESSARY.
 PRV,53,MBR HAS DEBIT SPANNING EFFECTIVE DATE.  RESEARCH AND DELETE IF NECESSARY.
 PRV,55,MBR HAS CREDIT SPANNING EFFECTIVE DATE.  RESEARCH AND DELETE IF NECESSARY.
 PRV,7,"""MBR TR TO IRR WITH UNCOLLECTED FINE"
 PRV,72,MBR'S PAID DUTY HAS BEEN REDUCED PER PENSION WAIVER STATUS REPORTING.  REPORT NON-PAID DUTY AFTER EFF DT AS APPROPRIATE.
 PRV,82,MASTER RECORD DOES NOT CONTAIN AN R980 CAR RET RMK/SEGMENT FOR DRILL/FHD.  RET POINTS ADJUSTED.
 PRV,83,ADJUSTMENT FOR CAREER RETIREMENT RMK WOULD RESULT IN NEGATIVE POINTS.  NO ADJUSTMENT MADE.
 PRV,84,ADJUSTMENT TO ACCUMULATED ACTDU DAYS WOULD RESULT IN NEGATIVE BALANCE.  NO ADJ MADE.
 PRV,85,MR CONTAINS INVALID ANNIV DATE.  CAREER RETIREMENT RMK NOT ADJ FOR DUTY REPORTED AFTER ED.
 PRV,86,RET CREDIT PARTIALLY ADJ FOR ACDU RPTD AFTER EFFDTD.  PRD PRIOR TO PRIOR ANNIV YR NOT ADJ.
 PRV,88,MASTER RECORD DOES NOT CONTAIN AN R980 CAR RET RMK/SEGMENT FOR ACDU PERIOD ADJUSTED.
 PRV,42,MEMBER DROPPED WITH UNLIQUIDATED INDEBTEDNESS.
 RET,50,"""MEMBER'S PRIMARY"
 RET,52,"""MBR'S PLANNED-REENL-EXT-RETIRE-DATE"
 RET,51,MEMBER'S DOB IS ZEROES.
 SEL,50,SNM ELIGIBLE FOR PROM. RUN PROM OR WILL NOT PROMOTE.
 SSN,N,"""CHG NOT ACCEPTED"
 SSN,M,OLD SSN NOT ON CURRENT MASTER RECORD.
 TAR,DI,DROPPED MBR WAS SETUP FOR TUITION ASSISTANCE INSTALLMENTS. RMK 836 EFFECTIVE DATE
 VAB,AA,"""RECORD INDICATES RES RETIREMENT AWTG PAY AGE 60 PENDING. HQMC REVIEW AND TAKE APPROPRIATE ACTION"
 VAB,AB,"""RECORD INDICATES REQ RET AWTG AGE 60 APPROVED. HQMC REVIEW AND TAKE APPROPRIATE ACTION"
 VAB,AC,"""RECORD INDICATES REQ RESERVE RETIREMENT AWTG PAY AGE 60. HQMC REVIEW AND TAKE APPROPRIATE ACTION"
 VAB,AD,"""RECORD INDICATES REQ RESERVE RETIREMENT W/PAY. HQMC REVIEW AND TAKE APPROPRIATE ACTION"
 VAB,AE,"""RECORD INDICATES RESERVE RETIREMENT W/PAY PENDING. HQMC REVIEW AND TAKE APPROPRIATE ACTION"
 VAB,AF,MBR COMPL 20 SAT YEARS AND RESERVE ECC HAS EXPIRED. SUBMIT FOR REENL OR REQUEST RETIREMENT IAW MCO P1900.16.
 VER,F,SERIES/1 VERSION CONTROL FOR XXX RECORDS YYY PAGES.
 W01,GF,AUTO DROP WILL OCCUR ON PRR. ENSURE HOME ADDR & LV ARE SUBMITTED NOT LATER THAN PRR DATE.
 W01,GH,PROCESSING ERROR OCCURRED IN MCTFS.
 W01,GI,MBR FAILED OPFLY GATE TWO LOW.  MBR AVIP CEASED.
 W01,GJ,MBR FAILED OPFLY GATE ONE.  MBR AVIP CEASED.
 W01,GK,MBR CONTINUOUS AVIP STOPPED DUE TO FAILED/MISSING OPFLY GATE; CONDITIONAL AVIP BEGUN.
 W01,GL,MBR FAILED OPFLY GATE TWO HIGH.  MBR AVIP CEASED.
 W01,GM,WT CNTL INACTIVE STATUS (MEDICAL CONDITION) IN EXCESS OF 6 MONTHS.  TAKE ACTION IAW MCO 6110.3 IF REQUIRED.
 W01,HI,PMOS CONTAINED IN MR IS NOT VALID.  SUBMIT APPROPRIATE MOS VIA DIARY.
 W01,HP,"""PROM RESTR STATUS WILL EXPIRE WITHIN 30 DAYS.  VERIFY STATUS"
 W01,HS,MR INDICATES MBR MAY HAVE BEEN PREV ENTL TO HDP-T. RESEARCH AND SUBMIT NAVMC 11116 TO SERVICING DO/FO IF APPLICABLE.
 W01,HT,MR INDICATES MBR MAY HAVE BEEN PREV ENTL TO HDP-T. RESEARCH AND RPT IF APPLICABLE.
 W01,I,MASTER RECORD REFLECTS DDLB WITHOUT CORRESPONDING DEPN-INFO-150-RMK.
 W01,IA,MEMBER HAS NOT COMPLETED THE RECOMMENDED TRAINING/CONTINUING EDUCATION HOURS REQUIRED.
 W01,IB,MEMBER HAS NOT COMPLETED THE NECESSARY TRAINING/CONTINUING EDUCATION HOURS REQUIRED OVER A THREE YEAR PERIOD.
 W01,IC,MBR IS WITHIN THREE MONTHS OF INFO ASSURANCE RECERTIFICATION.  INFO ASSURANCE RECERTIFICATION TRNG IS REQUIRED.
 W01,ID,MEMBER HAS NOT RECERTIFIED FOR INFO ASSURANCE.
 W01,IE,INFO ASSURANCE CERTIFICATION HAS NOT BEEN REPORTED.  WAIVER WILL EXPIRE IN TWO MONTHS.
 W01,IF,INFO ASSURANCE CERTIFICATION HAS NOT BEEN REPORTED.  WAIVER HAS EXPIRED.
 W01,JC,DRAW CASE CODE HAS EXPIRED AND DELETED FROM MR.
 W01,KK,MBR UA 45 DAYS OR MORE.  NO DROP DECL DES/FR UA OR DELETION PROCESSED.  VERIFY AND REPORT AS APPROP.
 W01,L,MEMBER ACCESSED.  AWAITING INITIAL JOIN WITHIN YOUR COMMAND.
 W01,LG,MPLP CAREGIVER LEAVE INFORMATION REMOVED.
 W01,LH,MATERNITY LEAVE INFORMATION REMOVED AFTER 120 DAYS.  REVIEW DUTY LIMIT STATUS.
 W01,M,NO JOIN ACTION PROCESSED FR YOUR COMD FOR THE ABOVE RECORD.
 W01,MA,MBR IS WITHIN THREE MONTHS OF MARTIAL ARTS RECERTIFICATION. MARTIAL ARTS RECERTIFICATION TRNG IS REQUIRED.
 W01,MB,MBR DID NOT RECERTIFY AS A MARTIAL ARTS INSTRUCTOR. MARTIAL ARTS INSTRUCTOR STATUS IS SUSPENDED.
 W01,MD,TR RPTD NOT SUPPORTED BY JOIN ACTION WITHIN MCC TO WHICH TR.
 W01,NA,SEX CODE ON SOCIAL SECURITY ADMIN FILE DIFFERENT THAN IN MR. REFER TO PRIUM FOR ACTION TO BE TAKEN.
 W01,NN,MOB MCC CONTAINED IN MASTER FILE IS INVALID.  RESEARCH AND REPORT.
 W01,PA,MBR DOES NOT HAVE A PFT SCORE IN THE SYSTEM.  SUBMIT PFT SCORE IAW PRIUM.
 W01,PB,PHYSICAL-FITNESS-TEST-183-RMK DELETED.  PARTIAL PFT NOT APPLICABLE TO E3 OR E4.
 W01,PC,MBRS MOB STATUS (DELAY) HAS EXPIRED AND BEEN RESET TO NONE. PLS VERIFY.
 W01,RE,REENL AUTH CANCELLED DUE TO NON RPTING OF REENL WITHIN 178 AUTH DATES.  REAPPLY TO MMEA IF REQUIRED.
 W01,RS,ADVISE PROMOTION STATUS OF SNM.  SNM ELIGIBLE AND QUALIFIED FOR PROMOTION.
 W01,RT,MBR HAS BEEN ON TNPQ FOR SIX MONTHS.  PLEASE TAKE ACTION PER MCO P1001R.1 MCRAMM.
 W01,T2,THE ABOVE MARINE(S) HAS(HAVE) A BASIC MOS. REPORT PRIMARY MOS IF APPLICABLE.
 W01,DE,MASTER RECORD INDICATES NO MGIB ELECTION.  RESEARCH AND REPORT MGIB STATUS CODE.
 W01,DF,SNM HAS DEPENDENT CHILD IN MCTFS THAT HAS REACHED THE AGE OF 21.  RESEARCH AND REPORT DEPN TVL AUTH FLAG OF 'N' IF NECESSARY.
 W01,DG,MASTER RECORD INDICATES A DEPENDENT CHILD (STUDENT) HAS REACHED 23 YRS OF AGE.  REPORT DEPN TVL AUTH FLAG OF 'N'.
 W01,DH,"""MBR WITHIN 1 MONTH OF RETIREMENT"
 W01,DK,"""DEPN 150 RMK INDICATES MBR MARRIED TO SVC SPOUSE.  NO SERVICE SPOUSE INFO ON RECORD"
 W01,GA,"""MBR OPFLY GATE ONE WILL EXPIRE SOON.  IF NOT PASSED"
 W01,GB,"""MBR OPFLY GATE TWO LOW WILL EXPIRE SOON.  IF NOT PASSED"
 W01,GC,"""MBR OPFLY GATE TWO HIGH WILL EXPIRE SOON.  IF NOT PASSED"
 W01,GE,MBR AVIP STOPPED DUE TO FAILED/MISSING OPFLY GATE AND NOT IN A DIFOP STATUS.
 W01,D6,SNM HAS DEPENDENT CHILD IN MCTFS THAT HAS REACHED THE AGE OF 21.  TAKE NECESSARY ADMIN (10922) AND UD ACTION TO REMOVE.
 W01,D7,"""MR REFLECTS MEMBER IS TAD. RESEARCH MEMBER'S DIVE PAY AND STOP DIVE PAY IAW DODFMR"
 W01,D8,"""MR REFLECTS MEMBER IN SICK STATUS. RESEARCH MEMBER'S DIVE PAY AND STOP DIVE PAY IAW DODFMR"
 W01,D9,"""MR REFLECTS MEMBER IN CONFINEMENT. RESEARCH MEMBER'S DIVE PAY AND STOP DIVE PAY IAW DODFMR"
 W01,DA,DU LIMIT INSUF ACT SERV DELETED.  CHANGED TO ZERO.
 W01,DB,DU LIMIT 17 YEARS DELETED.  CHANGED TO B.
 W01,DC,DUTY LIMIT 17 YEARS DELETED.  CHANGED TO 0 (ZERO).
 W01,DD,DIVE WAIVER WILL EXPIRE WITHIN 30 DAYS.  RESEARCH AND REPORT NEW QUAL LAPSE DATE IF APPLICABLE.
 W01,DL,MBR NOT WITHIN HT/WT/BF STANDARDS FOR OVER 60 DAYS.  ASSIGN TO BCP OR REPORT TTC 391 001 WITH NEW HT/WT/BF INFORMATION.
 W01,DM,MBR MAY BE DEPLOYED BUT NO OPEN PDMRA DEPLOY/MOB 138 RMK.  REPORT TTC 828   000 START PDMRA DEPLOY/MOBILIZE IF NECESSARY.
 W01,DN,"""MEMBER IN RECEIPT OF BAH WITH DEPN"
 W01,DP,"""MBR HAS NO PDMRA DEPLOY ENTITLEMENTS"
 W01,DS,112 PERSTEMPO RMK INDICATES MBR MAY BE ENTITLED TO HDP-T.  RESEARCH AND REPORT HDP-T IF APPLICABLE.
 W01,DT,MBR IS IN RECEIPT OF HDP-T AND DOES NOT HAVE A QUALIFYING 112 PERSTEMPO REMARK(S). RESEARCH AND ADJUST AS APPROPRIATE.
 W01,DU,112 PERSTEMPO RMK INDICATES MBR MAY BE ENTL TO HDP-T.  RESEARCH AND ENSURE HDP-T IS STARTED IF APPLICABLE.
 W01,EB,MR CONTAINS OPEN D302 RMK. REVIEW PRIUM CHAPTER 9 (PARA 91201) AND SUBMIT TTC 392 AS APPROPRIATE.
 W01,EL,MEMBER IS IN A NON PAYABLE PAY STATUS AND WILL REMAIN UNTIL EITHER TTC 111 OR TTC 508 ARE PROCESSED.
 W01,FA,MR INDICATES MBR HAS SUFFICIENT OPFLY TIME TO PASS GATE ONE. UNABLE TO DETERMINE DATE. RESEARCH AND CONTACT MMOA FOR ADJ.
 W01,FB,MR INDICATES MBR HAS SUFFICIENT OPFLY TIME TO PASS GATE TWO HIGH.  UNABLE TO DETERMINE DATE.  RESEARCH AND CONTACT MMOA FOR ADJ.
 W01,FC,MR INDICATES MBR HAS SUFFICIENT OPFLY TIME TO PASS GATE TWO LOW.  UNABLE TO DETERMINE DATE.  RESEARCH AND CONTACT MMOA FOR ADJ.
 W01,FD,MBR OPFLY TIME EXCEEDS ASED.  RESEARCH AND CORRECT.
 W01,FE,MASTER RECORD DOES NOT CONTAIN AVIATION SERVICE ENTRY DATE.
 W01,FF,"""PFT SCORE IS ZEROS FOR REASON OTHER THAN FAILURE. FOR COMPOSITE SCORE CALCULATION"
 W01,FG,"""EXPIRED RTD REMOVED"
 W01,FI,"""INCONSISTENT GATE OR GATE DATE INFO"
 W01,FJ,MR INDICATES MBR OPFLY TIME ACCRUED ERRONEOUSLY.  CONTACT MMOA FOR ADJ.
 W01,FK,"""TYPE CURRENT DUTY REFLECTS OVERSEAS PRESENT UNIT"
 W01,FL,"""TYPE CURRENT DUTY REFLECTS CONUS"
 W01,FQ,SECOND NOTICE TO COMPLETE THE REQUIRED FINANCIAL EDUCATION TRAINING COURSE WITHIN 30 DAYS DUE TO YOUR LIFE EVENT CHANGE UPDATE. YOU ARE REQUIRED TO COMPLETE THIS COURSE IMMEDIATELY.
